Entity_A,Entity_B,Jaccard_Similarity
Logic,Galileo_Galilei,0.036634374
Logic,Physics,0.023064919
Logic,Artificial_intelligence,0.04967716
Logic,Isaac_Newton,0.040381003
Logic,Albert_Einstein,0.032743227
Logic,Computer_science,0.01999603
Logic,Pythagoras,0.022305084
Logic,Mathematics,0.043871544
Logic,Philosophy,0.32211256
Logic,Topology,0.015257501
Logic,Algorithm,0.032919835
Logic,Theoretical_physics,0.021486545
Logic,Algebra,0.018730948
Galileo_Galilei,Physics,0.047956787
Galileo_Galilei,Artificial_intelligence,0.08714292
Galileo_Galilei,Isaac_Newton,0.17032965
Galileo_Galilei,Albert_Einstein,0.13716891
Galileo_Galilei,Astrophysics,0.03532764
Galileo_Galilei,Mathematics,0.020883253
Galileo_Galilei,Philosophy,0.041638486
Galileo_Galilei,Leonhard_Euler,0.02257225
Galileo_Galilei,Experimental_physics,0.031718995
Galileo_Galilei,Theoretical_physics,0.03806553
Galileo_Galilei,Nikola_Tesla,0.06753395
Galileo_Galilei,Marie_Curie,0.059476033
Galileo_Galilei,Charles_Darwin,0.015778868
Alan_Turing,Artificial_intelligence,0.035239857
Alan_Turing,Ada_Lovelace,0.041210167
Alan_Turing,Isaac_Newton,0.017574666
Alan_Turing,Computer_science,0.023314403
Alan_Turing,Mathematics,0.024705216
Alan_Turing,Algorithm,0.033763282
Alan_Turing,Algebra,0.016848005
Physics,Artificial_intelligence,0.02737043
Physics,Isaac_Newton,0.04096629
Physics,Geophysics,0.060506083
Physics,Albert_Einstein,0.072675794
Physics,Computer_science,0.026506692
Physics,Quantum_computing,0.029293546
Physics,Astrophysics,0.12064612
Physics,Mathematics,0.038957637
Physics,Philosophy,0.023826027
Physics,Leonhard_Euler,0.03383101
Physics,Archaeology,0.015877917
Physics,Experimental_physics,0.09393717
Physics,Theoretical_physics,0.13463089
Physics,Marie_Curie,0.046477113
Artificial_intelligence,Machine_learning,0.076776154
Artificial_intelligence,Statistics,0.022534326
Artificial_intelligence,Isaac_Newton,0.044960447
Artificial_intelligence,Albert_Einstein,0.0769293
Artificial_intelligence,Computer_science,0.23325594
Artificial_intelligence,Quantum_computing,0.06923669
Artificial_intelligence,Deep_learning,0.044559557
Artificial_intelligence,Mathematics,0.02504031
Artificial_intelligence,Philosophy,0.041318506
Artificial_intelligence,Algorithm,0.028435957
Artificial_intelligence,Theoretical_physics,0.01576086
Machine_learning,Statistics,0.022601627
Machine_learning,Computer_science,0.058322914
Machine_learning,Quantum_computing,0.0340131
Machine_learning,Deep_learning,0.14816922
Machine_learning,Algorithm,0.021288106
Machine_learning,Big_data,0.021266848
Statistics,Computer_science,0.032815646
Statistics,Deep_learning,0.015170944
Statistics,Mathematics,0.09309499
Statistics,Topology,0.08308234
Statistics,Algebra,0.071056016
Ada_Lovelace,Computer_science,0.021725578
Ada_Lovelace,Algorithm,0.018402414
Isaac_Newton,Albert_Einstein,0.08732684
Isaac_Newton,Astrophysics,0.025453715
Isaac_Newton,Mathematics,0.019286025
Isaac_Newton,Philosophy,0.043410156
Isaac_Newton,Leonhard_Euler,0.027821293
Isaac_Newton,Experimental_physics,0.02612485
Isaac_Newton,Theoretical_physics,0.03476006
Isaac_Newton,Nikola_Tesla,0.06080226
Isaac_Newton,Marie_Curie,0.055120513
Isaac_Newton,Charles_Darwin,0.02240068
Geophysics,Astrophysics,0.07156468
Geophysics,Experimental_physics,0.059287425
Geophysics,Theoretical_physics,0.069606975
Albert_Einstein,Quantum_computing,0.01587587
Albert_Einstein,Astrophysics,0.02936361
Albert_Einstein,Mathematics,0.016995383
Albert_Einstein,Philosophy,0.036131997
Albert_Einstein,Leonhard_Euler,0.0153215155
Albert_Einstein,Experimental_physics,0.03798477
Albert_Einstein,Theoretical_physics,0.046712384
Albert_Einstein,Nikola_Tesla,0.018890744
Albert_Einstein,Marie_Curie,0.1572606
Computer_science,Quantum_computing,0.09562296
Computer_science,Deep_learning,0.017895589
Computer_science,Mathematics,0.039678607
Computer_science,Topology,0.025404662
Computer_science,Algorithm,0.053645175
Computer_science,Archaeology,0.016856441
Computer_science,Big_data,0.06539746
Computer_science,Algebra,0.025021339
Pythagoras,Mathematics,0.015589496
Pythagoras,Philosophy,0.02821367
Quantum_computing,Mathematics,0.018193787
Quantum_computing,Algorithm,0.025343379
Quantum_computing,Theoretical_physics,0.016637985
Astrophysics,Mathematics,0.019433944
Astrophysics,Leonhard_Euler,0.019593453
Astrophysics,Experimental_physics,0.10109467
Astrophysics,Theoretical_physics,0.10630085
Deep_learning,Big_data,0.015480755
Mathematics,Philosophy,0.02363763
Mathematics,Topology,0.14307496
Mathematics,Algorithm,0.049388535
Mathematics,Leonhard_Euler,0.04077804
Mathematics,Theoretical_physics,0.048349183
Mathematics,Algebra,0.17399202
Philosophy,Archaeology,0.016836835
Philosophy,Theoretical_physics,0.030354664
Topology,Algorithm,0.02084593
Topology,Leonhard_Euler,0.03470929
Topology,Theoretical_physics,0.01840894
Topology,Algebra,0.13941224
Algorithm,Algebra,0.03243186
Leonhard_Euler,Experimental_physics,0.024327332
Leonhard_Euler,Theoretical_physics,0.037702072
Leonhard_Euler,Algebra,0.03707252
Experimental_physics,Theoretical_physics,0.10026471
Experimental_physics,Nikola_Tesla,0.02090118
Experimental_physics,Marie_Curie,0.034872673
Theoretical_physics,Marie_Curie,0.01686355
Theoretical_physics,Algebra,0.016872484
Nikola_Tesla,Marie_Curie,0.06623357
Evolution,Charles_Darwin,0.15536405
